ID	Statement	Greeting
664440354	hey, how are you?	True
89649637	hey how are you	True
1932457260	whats up?	True
1842057309	whats up	True
151010112	sup	True
981944389	whats up homie?	True
199367034	whats up dawg?	True
27364163	sup nig	True
889929190	whats up dawg	True
168609042	whats up homie	True
164393543	how are you?	True
536208481	how are you	True
1240889433	what are you doing?	True
441252270	what are you doing	True
551400910	what are you up to?	True
1911715107	what are you up to	True
1020630285	whats going on?	True
1723188247	whats going on	True
1922719374	hey, is everything ok?	True
553355816	hey is everything ok	True
1641775065	hey, whats going on?	True
807268792	hey whats going on	True
1666040337	hello how are you	True
1231878042	hello, whats up?	True
1944716845	whats new?	True
1284666184	what have you been up to?	True
360018158	hey, what have you been up to?	True
1087929667	hey, where have you been?	True
679484137	whats up cracker jack?	True
528165362	hey	True
1333007215	Hey	True
63712237	yo	True
2011766752	hey hey	True
1570978890	yooooooo	True
1612250362	heeeeeeeyyyyyyyyyy	True
911627078	hello	True
352633778	Hello	True
517561159	hey dude	True
1874607731	hey babe	True
1831372463	hey baby	True
863154773	hey boo	True
150875689	hey bud	True
1311709794	hey bro	True
1276549088	hey buddy	True
1942375122	hey friend	True
1724716123	hey there	True
875778328	hey!	True
1151361853	hey there!	True
1301202606	hey dude!	True
2109576166	hey baby! <3 <3	True
128481592	hey boo!! <3	True
1794985046	you are so cool	False
1770575279	that was so much fun	False
550126835	i cant wait to do that again	False
1935101344	wasnt that cool?	False
113237870	wow that was amazing	False
1853087198	eww that was gross	False
1750073788	i didnt care for that	False
1371111854	i dont like that	False
1665718988	i dont want that	False
2078722218	i want some food	False
64902977	i want to go shopping	False
1661187924	i want to stay with you	False
1557262396	it was fun when you came over last night! i hope to see you again.	False
261687323	i hope i can see you again	False
64086259	i want to see you again	False
1593086677	i am soo sorry	False
1696988924	im sorry	False
1206295054	that was funny	False
1557452322	that was interesting	False
2129754377	that was amazing	False
1677018973	holy fuck thats cool	False
195120297	omg that was epic	False
697159525	omg	False
247707106	come try this its amazing	False
101106584	come on and do it with me, it feels so good.	False
87069160	do your home work	False
945804340	go to bed	False
63799443	do the laundry	False
2136527000	go cut the grass	False
743716497	mow the lawn	False
1320404168	go outside	False
1972099282	go for a run	False
1499564688	do the dishes	False
37296134	do something already	False
1585360814	do a load of laundry please	False
119189715	please do some tidying up	False
1339406651	tidy your room	False
1740685772	dont go there	False
1175067662	dont do that	False
1372301932	listen to me	False
2037103335	you can go there	False
249234753	you can do that	False
1878710866	you cant have any	False
2120228922	you can have some if you want	False
2131639534	you are going to regret that	False
523391215	stop that now	False
411147211	stop it	False
1775169602	go ahead	False
1390308199	youre allowed	False
1607734029	go for it	False
834613562	you are my friend	False
2123457558	you are a dick	False
1209877707	you are cool	False
557635704	that was fun	False
91675095	that was weird	False
1011976648	that was gross	False
485527653	that was shitty	False
1862015275	this is cool	False
1246106659	this is fun	False
1585764256	this is interesting	False
319394757	they are boring	False
1098386244	they came to fuck shit up	False
794180400	they are annoying	False
334114390	they should go away	False
170429949	that was rude	False
1799882888	you are rude	False
1721218782	you are exciting	False
932078161	that was exciting	False
235922055	i want to try	False
1504492090	its over there	False
1813275572	its by the door	False
1515898698	its open, please close it.	False
1590822938	its annoying when you do that	False
1744745936	it cant be undone	False
1652246588	its over now	False
839896119	it ended about an hour ago	False
2023488624	hes a prick	False
136526149	hes cool	False
1823146765	hes aweful	False
1137310915	hes interesting	False
1235517495	i dont like him	False
730230284	he did this last night.	False
233086790	he came over last night	False
2088388517	she came over last night	False
1468698481	she was over there	False
756542156	she came by this afternoon i believe.	False
